0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:41 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:41 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:41 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:44 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:44 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:05:45 +0300] "GET /ogretim/ HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/May/2020:17:06:17 +0300] "GET /ogretim/ HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [25/May/2020:17:06:24 +0300] "GET /ogretim/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [25/May/2020:17:06:54 +0300] "GET /ogretim/ HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [25/May/2020:17:07:27 +0300] "GET /ogretim/ HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [25/May/2020:17:07:28 +0300] "GET /ogretim/ HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [25/May/2020:17:07:28 +0300] "GET /ogretim/ HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [25/May/2020:17:07:28 +0300] "GET /ogretim/ HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [25/May/2020:17:07:54 +0300] "GET /ogretim/ HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [25/May/2020:17:08:06 +0300] "GET /ogretim/ HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [25/May/2020:17:08:28 +0300] "GET /ogretim/ HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [25/May/2020:17:09:50 +0300] "GET /ogretim/ HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [25/May/2020:17:09:51 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:10 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:20 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:20 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:21 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:21 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:21 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:24 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:24 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:24 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:24 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:24 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:24 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:24 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:25 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:25 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:25 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:25 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:25 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:26 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:26 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:32 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:38 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:39 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:39 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:45 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:56 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:57 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:57 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:57 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [25/May/2020:17:10:57 +0300] "GET /ogretim/ogretmen_kayit.jsp HTTP/1.1" 200 536
